,index,id,studentID,task_id,score,content,time_stamp,target,session_id,query_order,query_len,session_end,query_dwell_time,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HOVER_count,CLICK_count,SCROLL_count,OVER_count,SEARCH_END_count,GOTO_PAGE_count,clicked_doc_count,query_relevance_count,query_key_count,task_relevance_count,task_key_count,query_nDCG3,query_nDCG5,query_nDCG10,task_nDCG3,task_nDCG5,task_nDCG10,query_precision3,query_precision5,query_precision10,task_precision3,task_precision5,task_precision10,num_of_click3,ave_query_relevant_score,ave_task_relevant_score,new_unique_query_terms_num,query_similarity,click_precision_query,click_precision_task,num_of_click5,num_of_click10,click_depth,state
0,218,5,2014012759,11,5,TIMESTAMP=1512979310708	USER=2014012759	TASK=11	QUERY= 清华游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,3,1,6,1,28797.0,1,4,85,3,0,6,1,23,2,2,0,1,1,1,1,1,0.696730701,0.708756305,0.890120468,0.696730701,0.686198113,0.882759681,1.0,1.0,0.9,1.0,0.8,0.8,0,3.0,3.0,1.0,0.0,1.0,1.0,0,0,0,1
1,206,6,2014012759,4,3,TIMESTAMP=1512979510278	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1512980000000.0,0,4,1,10,0,95674.0,2,5,158,4,1,6,2,36,1,1,0,2,2,2,2,2,0.731840728,0.736187922,0.846810833,0.562651065,0.663905319,0.792690094,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,3.0,1.0,0.0,1.0,1.0,1,0,2,2
2,207,7,2014012759,4,2,TIMESTAMP=1512979674796	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班 美国	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2,1512980000000.0,0,4,2,13,0,160464.0,1,3,166,3,1,30,2,52,0,0,0,2,1,0,1,0,0.343976597,0.525874454,0.76182626,0.142857143,0.473241964,0.650507189,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5,0.5,0.1,0.9,0.5,0.5,1,1,7,3
3,208,8,2014012759,4,3,TIMESTAMP=1512979890681	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1512980000000.0,0,4,3,10,1,95674.0,2,5,158,4,1,6,2,36,1,1,0,2,2,2,2,2,0.731840728,0.736187922,0.846810833,0.562651065,0.663905319,0.792690094,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,3.0,0.0,0.9,1.0,1.0,1,0,2,2
4,202,9,2014012759,1,5,TIMESTAMP=1512980133512	USER=2014012759	TASK=1	QUERY= 破冰游戏 十人	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,5,1,8,1,73046.0,1,4,81,3,0,12,3,23,1,1,0,3,3,3,3,3,0.865920364,0.884852962,0.974038054,0.865920364,0.884852962,0.974038054,1.0,1.0,1.0,1.0,1.0,1.0,1,2.666666667,2.666666667,1.0,0.0,1.0,1.0,2,0,5,2
5,209,10,2014012759,7,3,TIMESTAMP=1512980349876	USER=2014012759	TASK=10	QUERY= 戒烟	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1512980000000.0,0,6,1,3,0,32780.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0.396641638,0.563936879,0.756732216,0.396641638,0.481838329,0.708696771,0.666666667,0.8,0.8,0.666666667,0.8,0.8,1,1.0,1.0,1.0,0.0,0.5,0.5,1,0,2,1
6,210,11,2014012759,7,5,TIMESTAMP=1512980382656	USER=2014012759	TASK=10	QUERY= 戒烟 好处	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,6,2,6,0,42107.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0,1.0,0.991167064,1.0,0.92502567,0.981767421,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,3.0,0.4,0.6,1.0,1.0,1,0,1,3
7,211,12,2014012759,7,5,TIMESTAMP=1512980424763	USER=2014012759	TASK=10	QUERY= 戒烟 副作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,6,3,7,0,168336.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.798880546,0.842864497,0.943102618,0.804612906,0.947881595,0.943723541,1.0,1.0,1.0,1.0,1.0,0.9,1,3.0,3.0,0.375,0.375,1.0,1.0,1,0,1,3
8,212,13,2014012759,7,4,TIMESTAMP=1512980593099	USER=2014012759	TASK=10	QUERY= 戒烟 方法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4,1512980000000.0,1,6,4,6,1,81074.33333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.296081911,0.416285362,0.731386061,0.296081911,0.416285362,0.718560821,0.333333333,0.6,0.7,0.333333333,0.6,0.7,1,3.0,3.0,0.25,0.375,1.0,1.0,1,0,1,3
9,216,14,2014012759,10,3,TIMESTAMP=1512980715123	USER=2014012759	TASK=10	QUERY= 港版 iPhone	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1512980000000.0,0,7,1,10,0,16549.0,1,1,43,1,1,6,0,0,0,0,0,0,0,0,0,0,0.649014792,0.888599469,0.888599469,0.363114381,0.675884084,0.675884084,0.666666667,0.75,0.75,0.666666667,0.75,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,29,2
10,217,15,2014012759,10,3,TIMESTAMP=1512980944245	USER=2014012759	TASK=10	QUERY=香港 iPhone	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1512980000000.0,0,7,2,9,1,53166.0,1,4,118,3,0,18,1,0,2,2,0,1,1,0,1,0,0.804612906,0.927103337,0.930391883,0.184480748,0.518373739,0.572635982,1.0,1.0,1.0,0.666666667,0.8,0.857142857,0,1.0,1.0,0.1,0.8,1.0,1.0,1,0,5,2
11,213,16,2014012759,8,1,TIMESTAMP=1512981051533	USER=2014012759	TASK=8	QUERY= 谷歌眼镜	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1,1512980000000.0,0,8,1,5,0,61638.0,1,2,65,2,1,4,1,0,0,0,0,1,1,1,1,1,0.612135869,0.719680286,0.879512405,0.612135869,0.719680286,0.879134312,1.0,1.0,0.8,1.0,1.0,0.8,0,3.0,3.0,1.0,0.0,1.0,1.0,0,0,0,1
12,214,17,2014012759,8,5,TIMESTAMP=1512981078426	USER=2014012759	TASK=8	QUERY= 谷歌眼镜 售价	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,8,2,8,0,21405.0,1,2,51,2,1,6,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.991167064,1.0,1.0,0.991167064,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.285714286,0.714285714,0.0,0.0,0,0,29,3
13,215,18,2014012759,8,5,TIMESTAMP=1512981161397	USER=2014012759	TASK=8	QUERY= 谷歌眼镜 功能	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,8,3,8,1,56602.0,1,3,55,2,0,2,1,14,1,1,0,1,0,0,0,0,0.530721274,0.535638352,0.756281864,0.530721274,0.579052419,0.74997573,0.666666667,0.8,0.9,0.666666667,0.8,0.9,0,0.0,0.0,0.222222222,0.555555556,0.0,0.0,0,0,0,3
14,205,19,2014012759,3,5,TIMESTAMP=1512981387699	USER=2014012759	TASK=3	QUERY= 北京周边 旅游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1512980000000.0,1,9,1,8,1,63439.0,1,2,55,1,0,10,1,24,1,1,0,1,1,1,1,1,0.798880546,0.598239106,0.579289176,0.276936779,0.237832163,0.406414498,0.666666667,0.8,0.8,0.5,0.7,0.6,0,3.0,2.0,1.0,0.0,1.0,1.0,1,0,4,1
