,QueryOrder,QueryLen,QueryDwellTime,NumClickedPage,NumClickedDoc,NumKeyDoc,NumRelevantDoc,AveDwellTime,TotalDwellTime,AveClickRank,ClickDepth,SearchEngineDwellTime,ClickPrecision,TimetoFirstLastClick,ReciproalRank,ratiofirstclick,ReformulationTime,isSegmentStart,isSegmentEnd,NumRelevantDoc_real,NumKeyDoc_real,DCG3,DCG5,DCG10,NDCG3,NDCG5,NDCG10,Precision3,Precision5,Precision10,ReciprocalRank,CBF1,CBF1_1,CBF1_2,averageRelevanceScore,irrelevantDocs30Num,new_unique_query_terms_num,query_similarity,NumOfClick3,NumOfClick5,NumOfClick6,state
0,1,2,16.4747,0,0,0,0,0.0,0.0,0.0,0,16.4747,0.0,16.4747,0,1.0,16.4747,1,0,0,0,0.0,-0.290139605,-1.21930938,0.0,0.0,1.019212348,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
1,2,3,28.9562,0,0,0,0,0.0,0.0,0.0,0,28.9562,0.0,28.9562,0,1.0,28.9562,0,0,0,0,-0.473197315,-0.473197315,-0.473197315,0.0,0.0,2.182658339,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.333333333,0.666666667,0,0,0,0
2,3,4,19.8979,0,0,0,0,0.0,0.0,0.0,0,19.8979,0.0,19.8979,0,1.0,19.8979,0,0,0,0,0.0,0.0,-0.25,0.0,0.0,1.153143873,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.5,0.166666667,0,0,0,0
3,4,2,23.2538,0,0,0,0,0.0,0.0,0.0,0,23.2538,0.0,23.2538,0,1.0,23.2538,0,0,0,0,-0.75,-0.75,-0.75,0.0,0.0,3.459431619,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.0,0.5,0,0,0,0
4,5,3,28.9651,0,0,0,0,0.0,0.0,0.0,0,28.9651,0.0,28.9651,0,1.0,28.9651,0,0,0,0,-0.75,-0.75,-0.75,0.0,0.0,3.459431619,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0.333333333,0.666666667,0,0,0,0
5,6,2,43.4836,0,1,0,0,31.4022,31.4022,2.0,2,12.0814,0.0,31.4022,0,0.722161919,43.4836,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,3,0.0,0.0,0.0,0.0,10,0.25,0.25,1,1,0,0
6,1,3,28.5119,0,1,0,0,20.7541,20.7541,1.0,1,7.7578,0.0,20.7541,0,0.727910101,28.5119,1,0,0,0,0.0,0.386852807,1.032124821,0.0,0.181541793,0.484354221,0.3,0.3,0.3,5,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0
7,2,3,29.7215,0,0,0,0,0.0,0.0,0.0,0,29.7215,0.0,29.7215,0,1.0,29.7215,0,0,0,0,0.5,1.317529365,2.290231425,0.234639363,0.44685353,0.693029557,0.6,0.6,0.6,3,0.0,0.0,0.0,0.0,0,0.25,0.5,0,0,0,0
8,3,2,11.2187,10,0,0,0,0.0,0.0,0.0,0,11.2187,0.0,11.2187,0,1.0,11.2187,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,31,0.0,0.0,0.0,0.0,0,0.0,0.666666667,0,0,0,0
9,4,7,20.6485,30,0,0,0,0.0,0.0,0.0,0,74.1483,0.0,74.1483,0,1.0,20.6485,0,1,0,0,1.630929754,1.630929754,1.630929754,0.765360637,0.55314647,0.55314647,0.125,0.125,0.125,1,0.0,0.0,0.0,0.0,0,0.714285714,0.285714286,0,0,0,0
10,1,3,6.1361,0,0,0,0,0.0,0.0,0.0,0,6.1361,0.0,6.1361,0,1.0,6.1361,1,0,0,0,0.0,0.430676558,0.430676558,0.0,0.430676558,0.430676558,0.1,0.1,0.1,4,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
11,2,3,85.2835,0,3,0,2,25.54443333,76.6333,4.0,6,8.6502,0.666666667,76.6333,0,0.898571236,85.2835,0,0,2,0,2.130929754,2.130929754,3.369822786,1.0,0.722726573,0.741670249,0.7,0.7,0.7,1,0.247646966,21.1202,0.0,0.666666667,10,0.25,0.5,1,2,1,3
12,3,4,46.5649,0,4,0,0,3.809075,15.2363,3.5,5,31.3286,0.0,15.2363,0,0.327205685,46.5649,0,1,0,0,2.130929754,2.561606312,2.561606312,1.0,0.868794922,0.563788458,0.4,0.4,0.4,1,0.0,0.0,0.0,0.0,0,0.25,0.75,2,4,0,3
13,1,1,91.6606,0,1,1,1,87.833,87.833,1.0,1,3.8276,1.0,87.833,1,0.9582416,91.6606,1,1,1,1,4.130929754,6.583517849,8.178618069,0.646185817,0.913068921,0.928816472,1.0,1.0,1.0,1,1.9164832,175.666,0.0,2.0,0,0.0,0.0,1,1,0,2
