,task_type,facet_product,facet_goal,facet_named,queries_num,access_area,access_common,access_item,evaluate_best,evaluate_correctn,evaluate_duplicat,evaluate_specific,evaluate_usefulne,find_common,find_known,find_specific,find_without,id_more,id_start,keep_link,learn_database,learn_domain,obtain_part,obtain_specific,obtain_whole,other,bknum_current,bksaved_current,pages_num,querylength,dwellserp,dwellcontent,timepercent,querynumber,clicks_num_segment,clicks_num_session,dwelltosave_cont,dwelltosave_serp,sources_num,refo_current_genera,refo_current_new,refo_current_repeat,refo_current_specia,refo_current_spelli,refo_current_stemid,refo_current_wordsu,state
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-1.7588668317899967,31.994100761673405,0.3388815538505653,0,10,2,6.388759469151772,2.0501892852717543,7,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5772599612283464,-12.548582815010231,0.4102252174557314,2,8,0,0.126218695637621,-1.302024495360431,3,0,0,0,1,0,0,0,1
2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,-0.3160306255320081,7.639202392965214,0.6829575645382466,4,8,0,13.246162839734822,1.655529357950868,2,0,0,0,0,0,0,0,2
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,1.6479659226398735,15.68543159521485,0.9215181463879245,10,4,-3,10.069577991682342,55.248515165269154,3,0,0,0,0,0,0,0,0
4,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,12,4,1.2104211402580685,8.127055559578338,0.9583052387328258,-1,4,0,10.447269415855393,25.925325132376678,7,0,0,0,1,0,0,0,0
5,0,0,1,0,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,0.8841105171716395,8.71807910104177,0.8690710760010116,1,6,-1,2.6092940432834615,27.479302003643888,5,0,0,0,1,0,0,0,2
6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2.1087340551653364,47.792276052681544,1.0294410414437996,4,8,-1,107.6227364898379,28.22589501403286,3,0,1,0,0,0,0,0,1
7,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-1.6257043756970124,38.872775170456556,0.7631654914998396,0,4,8,-3.7669149357256035,49.61605018337183,2,0,0,0,0,0,0,0,0
8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,-1.389106570919174,41.061381933545604,1.1702425529116298,-1,2,-8,7.657725010589964,0.9209618563686426,1,0,0,0,1,0,0,0,1
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,3,1.7978300990758225,35.29323115510673,0.06813094685296756,-1,2,1,3.191582069918076,2.526063823333759,1,0,0,0,0,0,0,0,1
